seqnames	start	end	width	strand	peak	feature	feature.ranges.start	feature.ranges.end	feature.ranges.width	feature.strand	distance	insideFeature	distanceToSite	symbol
chr1	44410920	44411024	105	*	X01241	9670	44412478	44433694	21217	+	1453	upstream	1453	IPO13
chr1	44444316	44444437	122	*	X01243	8704	44444874	44456843	11970	+	436	upstream	436	B4GALT2
chr1	44456271	44456360	90	*	X01247	149473	44457280	44462198	4919	+	919	upstream	919	CCDC24
chr1	44456857	44456976	120	*	X01248	149473	44457280	44462198	4919	+	303	upstream	303	CCDC24
chr1	44497275	44497282	8	*	X01250	6536	44457172	44497164	39993	-	110	upstream	110	SLC6A9
chr1	44870636	44870638	3	*	X01255	55182	44870960	45117396	246437	+	321	upstream	321	RNF220
chr1	45141008	45141097	90	*	X01257	79639	45119501	45140099	20599	-	908	upstream	908	TMEM53
chr1	45264817	45264951	135	*	X01261	1263	45266036	45271667	5632	+	1084	upstream	1084	PLK3
chr1	45476006	45476101	96	*	X01269	7389	45477805	45481341	3537	+	1703	upstream	1703	UROD
chr1	46640343	46640507	165	*	X01279	10103	46640749	46651634	10886	+	241	upstream	241	TSPAN1
chr1	47656737	47656841	105	*	X01299	10158	47649261	47655771	6511	-	965	upstream	965	PDZK1IP1
chr1	47697612	47697663	52	*	X01301	6886	47681963	47697892	15930	-	0	inside	228	TAL1
chr1	48688616	48688689	74	*	X01309	200010	48688357	48714316	25960	+	0	inside	258	SLC5A9
chr1	53609804	53609837	34	*	X01350	6512	53552851	53608289	55439	-	1514	upstream	1514	SLC1A7
chr1	53794124	53794273	150	*	X01356	7804	53708041	53793821	85781	-	302	upstream	302	LRP8
chr1	53794469	53794588	120	*	X01357	7804	53708041	53793821	85781	-	647	upstream	647	LRP8
chr1	54412763	54413017	255	*	X01366	51668	54387234	54411288	24055	-	1474	upstream	1474	HSPB11
chr1	55007403	55007411	9	*	X01375	26027	55007930	55100417	92488	+	518	upstream	518	ACOT11
chr1	55679451	55679530	80	*	X01386	100507634	55681081	55683128	2048	+	1550	upstream	1550	LOC100507634
chr1	57109824	57110003	180	*	X01397	5563	57110990	57181008	70019	+	986	upstream	986	PRKAA2
chr1	59613874	59613993	120	*	X01413	729467	59597608	59612479	14872	-	1394	upstream	1394	HSD52
chr1	64237619	64237753	135	*	X01454	4919	64239690	64647179	407490	+	1936	upstream	1936	ROR1
chr1	64936758	64936877	120	*	X01460	57685	64936476	65158741	222266	+	0	inside	281	CACHD1
chr1	65612582	65612701	120	*	X01477	205	65613232	65697828	84597	+	530	upstream	530	AK4
chr1	70673330	70673419	90	*	X01517	55631	70610485	70671361	60877	-	1968	upstream	1968	LRRC40
chr1	72749924	72750028	105	*	X01519	257194	71868625	72748405	879781	-	1518	upstream	1518	NEGR1
chr1	77333046	77333165	120	*	X01522	81849	77333186	77529737	196552	+	20	upstream	20	ST6GALNAC5
chr1	78150325	78150444	120	*	X01526	26009	78030190	78149104	118915	-	1220	upstream	1220	ZZZ3
chr1	86043842	86043968	127	*	X01545	23576	85784168	86044046	259879	-	0	inside	77	DDAH1
chr1	86044449	86044553	105	*	X01546	23576	85784168	86044046	259879	-	402	upstream	402	DDAH1
chr1	86044449	86044553	105	*	X01546	3491	86046444	86049648	3205	+	1890	upstream	1890	CCN1
chr1	86044614	86044733	120	*	X01547	23576	85784168	86044046	259879	-	567	upstream	567	DDAH1
chr1	86044614	86044733	120	*	X01547	3491	86046444	86049648	3205	+	1710	upstream	1710	CCN1
chr1	90460004	90460108	105	*	X01571	284695	90460678	90494094	33417	+	569	upstream	569	ZNF326
chr1	100111167	100111286	120	*	X01643	54873	100111431	100160097	48667	+	144	upstream	144	PALMD
chr1	101493011	101493145	135	*	X01647	51611	101455180	101491644	36465	-	1366	upstream	1366	DPH5
chr1	109970443	109970532	90	*	X01659	5686	109941653	109969108	27456	-	1334	upstream	1334	PSMA5
chr1	110052713	110052862	150	*	X01662	57463	110049446	110052336	2891	-	376	upstream	376	AMIGO1
chr1	112532993	112533187	195	*	X01701	643355	112533190	112541463	8274	+	2	upstream	2	LINC01750
chr1	112532993	112533187	195	*	X01701	3752	112318454	112531777	213324	-	1215	upstream	1215	KCND3
chr1	112533397	112533516	120	*	X01702	643355	112533190	112541463	8274	+	0	inside	206	LINC01750
chr1	112533397	112533516	120	*	X01702	3752	112318454	112531777	213324	-	1619	upstream	1619	KCND3
chr1	114446400	114446519	120	*	X01717	64858	114447915	114456708	8794	+	1395	upstream	1395	DCLRE1B
chr1	114521961	114522050	90	*	X01719	56944	114522030	114524876	2847	+	0	overlapStart	0	OLFML3
chr1	116653934	116654053	120	*	X01736	126868	116654376	116677861	23486	+	322	upstream	322	MAB21L3
chr1	117908088	117908192	105	*	X01750	10905	117910085	118068320	158236	+	1892	upstream	1892	MAN1A2
chr1	145471958	145472032	75	*	X01762	84265	145456236	145470387	14152	-	1570	upstream	1570	POLR3GL
chr1	145472312	145472378	67	*	X01763	84265	145456236	145470387	14152	-	1924	upstream	1924	POLR3GL
chr1	145506503	145506577	75	*	X01766	9939	145507557	145513535	5979	+	979	upstream	979	RBM8A
chr1	145548730	145548735	6	*	X01768	148741	145549209	145568526	19318	+	473	upstream	473	ANKRD35
chr1	145549497	145549616	120	*	X01769	148741	145549209	145568526	19318	+	0	inside	287	ANKRD35
chr1	147012078	147012242	165	*	X01775	607	147013182	147098015	84834	+	939	upstream	939	BCL9
chr1	147013133	147013202	70	*	X01776	607	147013182	147098015	84834	+	0	overlapStart	0	BCL9
chr1	149860910	149861044	135	*	X01785	317772	149859019	149859466	448	-	1443	upstream	1443	H2AC21
chr1	150241985	150242074	90	*	X01791	51107	150237799	150241609	3811	-	375	upstream	375	APH1A
chr1	150254893	150255012	120	*	X01793	148523	150254953	150259501	4549	+	0	overlapStart	0	CIART
chr1	150334888	150334992	105	*	X01794	23248	150336990	150449041	112052	+	1997	upstream	1997	RPRD2
chr1	150522810	150522914	105	*	X01797	100422997	150524405	150524490	86	+	1490	upstream	1490	MIR4257
chr1	150523154	150523243	90	*	X01798	100422997	150524405	150524490	86	+	1161	upstream	1161	MIR4257
chr1	151030764	151030835	72	*	X01809	10962	151032151	151040973	8823	+	1315	upstream	1315	MLLT11
chr1	151119975	151120087	113	*	X01810	10500	151104163	151119140	14978	-	834	upstream	834	SEMA6C
chr1	151139329	151139448	120	*	X01811	388695	151132224	151138424	6201	-	904	upstream	904	LYSMD1
chr1	151344939	151345028	90	*	X01817	8991	151336778	151345210	8433	-	0	inside	181	SELENBP1
chr1	151345194	151345313	120	*	X01818	8991	151336778	151345210	8433	-	0	overlapStart	0	SELENBP1
chr1	151584227	151584332	106	*	X01827	81609	151584541	151671559	87019	+	208	upstream	208	SNX27
chr1	151688970	151689018	49	*	X01830	11189	151672534	151689290	16757	-	0	inside	271	CELF3
chr1	151689043	151689327	285	*	X01831	11189	151672534	151689290	16757	-	0	overlapStart	0	CELF3
chr1	151689589	151689708	120	*	X01832	11189	151672534	151689290	16757	-	298	upstream	298	CELF3
chr1	151736856	151736960	105	*	X01833	65005	151732123	151736040	3918	-	815	upstream	815	MRPL9
chr1	151804308	151804340	33	*	X01837	6097	151778547	151804348	25802	-	0	inside	7	RORC
chr1	151967363	151967416	54	*	X01841	6281	151955386	151966714	11329	-	648	upstream	648	S100A10
chr1	152009715	152009722	8	*	X01843	6282	152004982	152009511	4530	-	203	upstream	203	S100A11
chr1	153509863	153509866	4	*	X01857	6277	153507076	153508717	1642	-	1145	upstream	1145	S100A6
chr1	153514299	153514317	19	*	X01859	6276	153509623	153514241	4619	-	57	upstream	57	S100A5
chr1	153514693	153514797	105	*	X01860	6276	153509623	153514241	4619	-	451	upstream	451	S100A5
chr1	153515938	153516072	135	*	X01861	6276	153509623	153514241	4619	-	1696	upstream	1696	S100A5
chr1	153538794	153539132	339	*	X01864	6273	153533585	153538306	4722	-	487	upstream	487	S100A2
chr1	153539799	153539948	150	*	X01865	6273	153533585	153538306	4722	-	1492	upstream	1492	S100A2
chr1	153585721	153585732	12	*	X01872	140576	153579367	153585514	6148	-	206	upstream	206	S100A16
chr1	153586318	153586677	360	*	X01873	140576	153579367	153585514	6148	-	803	upstream	803	S100A16
chr1	153600832	153600951	120	*	X01874	6271	153600873	153604513	3641	+	0	overlapStart	0	S100A1
chr1	153650435	153650554	120	*	X01875	4881	153651164	153666468	15305	+	609	upstream	609	NPR1
chr1	153919592	153919711	120	*	X01886	9909	153901977	153919154	17178	-	437	upstream	437	DENND4B
chr1	153931633	153931696	64	*	X01887	200186	153920148	153931132	10985	-	500	upstream	500	CRTC2
chr1	153931772	153931891	120	*	X01888	200186	153920148	153931132	10985	-	639	upstream	639	CRTC2
chr1	153940753	153940992	240	*	X01890	27173	153931575	153940660	9086	-	92	upstream	92	SLC39A1
chr1	154540375	154540494	120	*	X01907	1141	154540257	154552353	12097	+	0	inside	117	CHRNB2
chr1	154935838	154935972	135	*	X01911	90780	154929502	154934258	4757	-	1579	upstream	1579	PYGO2
chr1	154965813	154965947	135	*	X01916	55891	154966062	154966791	730	+	114	upstream	114	LENEP
chr1	154966164	154966268	105	*	X01917	55891	154966062	154966791	730	+	0	inside	101	LENEP
chr1	155034317	155034436	120	*	X01940	1944	155036213	155060014	23802	+	1776	upstream	1776	EFNA3
chr1	155034317	155034436	120	*	X01940	1945	155036213	155042029	5817	+	1776	upstream	1776	EFNA4
chr1	155034632	155034736	105	*	X01941	1944	155036213	155060014	23802	+	1476	upstream	1476	EFNA3
chr1	155034632	155034736	105	*	X01941	1945	155036213	155042029	5817	+	1476	upstream	1476	EFNA4
chr1	155034840	155034959	120	*	X01942	1944	155036213	155060014	23802	+	1253	upstream	1253	EFNA3
chr1	155034840	155034959	120	*	X01942	1945	155036213	155042029	5817	+	1253	upstream	1253	EFNA4
chr1	155035140	155035244	105	*	X01943	1944	155036213	155060014	23802	+	968	upstream	968	EFNA3
chr1	155035140	155035244	105	*	X01943	1945	155036213	155042029	5817	+	968	upstream	968	EFNA4
chr1	155035502	155035606	105	*	X01944	1944	155036213	155060014	23802	+	606	upstream	606	EFNA3
chr1	155035502	155035606	105	*	X01944	1945	155036213	155042029	5817	+	606	upstream	606	EFNA4
chr1	155099024	155099143	120	*	X01956	1942	155100349	155107386	7038	+	1205	upstream	1205	EFNA1
chr1	155099264	155099383	120	*	X01957	1942	155100349	155107386	7038	+	965	upstream	965	EFNA1
chr1	155162663	155162842	180	*	X01964	4582	155158300	155162706	4407	-	0	overlapStart	0	MUC1
chr1	155163008	155163192	185	*	X01965	4582	155158300	155162706	4407	-	301	upstream	301	MUC1
chr1	155163008	155163192	185	*	X01965	693235	155164968	155165063	96	+	1775	upstream	1775	MIR92B
chr1	155177078	155177242	165	*	X01967	4580	155178490	155183624	5135	+	1247	upstream	1247	MTX1
chr1	155177765	155177869	105	*	X01968	4580	155178490	155183624	5135	+	620	upstream	620	MTX1
chr1	155178140	155178242	103	*	X01969	4580	155178490	155183624	5135	+	247	upstream	247	MTX1
chr1	155248173	155248337	165	*	X01973	1196	155232659	155247501	14843	-	671	upstream	671	CLK2
chr1	156050802	156050829	28	*	X01996	4000	156052369	156109880	57512	+	1539	upstream	1539	LMNA
chr1	156051181	156051300	120	*	X01997	4000	156052369	156109880	57512	+	1068	upstream	1068	LMNA
chr1	156181973	156182020	48	*	X02014	100527963	156182779	156213123	30345	+	758	upstream	758	PMF1-BGLAP
chr1	156181973	156182020	48	*	X02014	11243	156182779	156209868	27090	+	758	upstream	758	PMF1
chr1	156390916	156391125	210	*	X02023	407046	156390133	156390221	89	-	694	upstream	694	MIR9-1
chr1	156391186	156391203	18	*	X02024	407046	156390133	156390221	89	-	964	upstream	964	MIR9-1
chr1	156647156	156647335	180	*	X02063	10763	156638556	156647189	8634	-	0	overlapStart	0	NES
chr1	156647471	156647575	105	*	X02064	10763	156638556	156647189	8634	-	281	upstream	281	NES
chr1	156675372	156675506	135	*	X02074	1382	156669400	156675608	6209	-	0	inside	101	CRABP2
chr1	156675597	156675716	120	*	X02075	1382	156669400	156675608	6209	-	0	overlapStart	0	CRABP2
chr1	156676572	156676691	120	*	X02076	1382	156669400	156675608	6209	-	963	upstream	963	CRABP2
chr1	156676961	156677095	135	*	X02077	1382	156669400	156675608	6209	-	1352	upstream	1352	CRABP2
chr1	156677246	156677365	120	*	X02078	1382	156669400	156675608	6209	-	1637	upstream	1637	CRABP2
chr1	156677412	156677498	87	*	X02079	1382	156669400	156675608	6209	-	1803	upstream	1803	CRABP2
chr1	156711373	156711477	105	*	X02080	79590	156707094	156710923	3830	-	449	upstream	449	MRPL24
chr1	156712756	156712842	87	*	X02081	79590	156707094	156710923	3830	-	1832	upstream	1832	MRPL24
chr1	156783956	156783991	36	*	X02088	4914	156785542	156851642	66101	+	1550	upstream	1550	NTRK1
chr1	156889940	156890119	180	*	X02098	149499	156890424	156902880	12457	+	304	upstream	304	LRRC71
chr1	159914901	159915233	333	*	X02143	57549	159896829	159915386	18558	-	0	inside	152	IGSF9
chr1	159924144	159924263	120	*	X02144	89886	159921282	159924044	2763	-	99	upstream	99	SLAMF9
chr1	160174626	160174730	105	*	X02157	8682	160175125	160185162	10038	+	394	upstream	394	PEA15
chr1	161086280	161086384	105	*	X02183	4817	161087862	161095235	7374	+	1477	upstream	1477	NIT1
chr1	161128720	161128839	120	*	X02184	27005	161129254	161135516	6263	+	414	upstream	414	USP21
chr1	164745667	164745771	105	*	X02206	100505795	164738353	164743878	5526	-	1788	upstream	1788	PBX1-AS1
chr1	165666816	165666920	105	*	X02213	440700	165667987	165679199	11213	+	1066	upstream	1066	LOC440700
chr1	166807747	166807755	9	*	X02214	57645	166808724	166823709	14986	+	968	upstream	968	POGK
chr1	169074447	169074566	120	*	X02242	481	169075947	169101960	26014	+	1380	upstream	1380	ATP1B1
chr1	174127437	174127646	210	*	X02265	9910	174128552	174964445	835894	+	905	upstream	905	RABGAP1L
chr1	177140583	177140687	105	*	X02270	57795	177140633	177251558	110926	+	0	overlapStart	0	BRINP2
chr1	178061013	178061059	47	*	X02274	9462	178062864	178448648	385785	+	1804	upstream	1804	RASAL2
chr1	178061930	178062049	120	*	X02275	9462	178062864	178448648	385785	+	814	upstream	814	RASAL2
chr1	178510608	178510757	150	*	X02284	400798	178511931	178518024	6094	+	1173	upstream	1173	C1orf220
chr1	178840305	178840439	135	*	X02286	9068	178818670	178840215	21546	-	89	upstream	89	ANGPTL1
chr1	180600480	180600599	120	*	X02300	9213	180601146	180859415	258270	+	546	upstream	546	XPR1
chr1	183387592	183387711	120	*	X02338	23057	183217372	183387634	170263	-	0	overlapStart	0	NMNAT2
chr1	183442560	183442669	110	*	X02341	284649	183430011	183441117	11107	-	1442	upstream	1442	SMG7-AS1
chr1	183605637	183605771	135	*	X02346	10092	183595328	183605076	9749	-	560	upstream	560	ARPC5
chr1	185287654	185287803	150	*	X02357	10625	185265522	185286461	20940	-	1192	upstream	1192	IVNS1ABP
chr1	190446777	190446896	120	*	X02367	339479	190066797	190446759	379963	-	17	upstream	17	BRINP3
chr1	198124926	198125030	105	*	X02374	140609	198126108	198291548	165441	+	1077	upstream	1077	NEK7
chr1	200992996	200993130	135	*	X02399	23046	200938514	200992828	54315	-	167	upstream	167	KIF21B
chr1	200993596	200993715	120	*	X02400	23046	200938514	200992828	54315	-	767	upstream	767	KIF21B
chr1	200993742	200993801	60	*	X02401	23046	200938514	200992828	54315	-	913	upstream	913	KIF21B
chr1	201083076	201083277	202	*	X02404	779	201008640	201081694	73055	-	1381	upstream	1381	CACNA1S
chr1	201084371	201084505	135	*	X02405	647219	201083081	201084500	1420	-	0	overlapStart	0	ASCL5
chr1	201084681	201084713	33	*	X02406	647219	201083081	201084500	1420	-	180	upstream	180	ASCL5
chr1	201368910	201369029	120	*	X02429	3898	201349966	201368669	18704	-	240	upstream	240	LAD1
chr1	201438688	201438718	31	*	X02440	23612	201434607	201438299	3693	-	388	upstream	388	PHLDA3
chr1	201616716	201616747	32	*	X02458	89796	201617450	201796102	178653	+	702	upstream	702	NAV1
chr1	201616837	201617002	166	*	X02459	89796	201617450	201796102	178653	+	447	upstream	447	NAV1
chr1	201617033	201617227	195	*	X02460	89796	201617450	201796102	178653	+	222	upstream	222	NAV1
